Year,Month,SiteID,Type,lat,lon,GPP,Mod17a2,gpp_lue_LAI,gpp_lue_CI,gpp_lue_MCMC
2003,6,AT-Neu,GRA,47.11667,11.3175,9.11347,6.0625,6.945115854,14.67235599,8.695980769
2003,7,AT-Neu,GRA,47.11667,11.3175,12.3301,6.184375,5.889100906,14.3631562,7.725116276
2003,8,AT-Neu,GRA,47.11667,11.3175,10.8114,5.178125,4.341412034,11.66826246,6.25354808
2003,9,AT-Neu,GRA,47.11667,11.3175,5.20338,2.278125,1.723091439,5.785875794,3.035371847
2003,10,AT-Neu,GRA,47.11667,11.3175,1.5997,0.545833333,0.809756984,2.081220062,1.209795406
2003,11,AT-Neu,GRA,47.11667,11.3175,0.89567,0.365625,0.233288742,0.767825514,0.303946692
2004,5,AT-Neu,GRA,47.11667,11.3175,14.0317,2.8,4.009648437,7.763400995,4.766410339
2004,6,AT-Neu,GRA,47.11667,11.3175,8.20816,4.221875,3.698532786,9.458539216,5.605866923
2004,7,AT-Neu,GRA,47.11667,11.3175,12.142,5.021875,4.062418454,11.49816083,6.184199914
2004,8,AT-Neu,GRA,47.11667,11.3175,8.28654,4.221875,3.445750468,10.10293522,5.414618617
2004,9,AT-Neu,GRA,47.11667,11.3175,6.7786,2.971875,3.568302988,7.43698683,3.901573635
2004,10,AT-Neu,GRA,47.11667,11.3175,3.92682,1.258333333,1.644886335,3.60897091,2.097863897
2005,5,AT-Neu,GRA,47.11667,11.3175,12.6923,3.9125,6.41815681,9.818632427,6.028238287
2005,6,AT-Neu,GRA,47.11667,11.3175,10.2644,4.853125,5.635047834,11.52874916,6.832834551
2005,7,AT-Neu,GRA,47.11667,11.3175,9.80937,5.35625,5.132188088,12.78920292,6.878577263
2005,8,AT-Neu,GRA,47.11667,11.3175,6.45011,4.3875,6.931400748,9.229187185,4.94633764
2005,9,AT-Neu,GRA,47.11667,11.3175,6.22379,2.575,3.232632123,7.612373707,3.993584665
2005,10,AT-Neu,GRA,47.11667,11.3175,2.64651,1.958333333,2.321311091,3.600283484,2.092813971
2006,6,AT-Neu,GRA,47.11667,11.3175,7.81709,5.115625,4.713424794,12.05399974,7.144138952
2006,7,AT-Neu,GRA,47.11667,11.3175,8.93346,6.54375,8.840787433,17.77930739,9.562467676
2006,8,AT-Neu,GRA,47.11667,11.3175,6.67355,3.1875,2.24816462,7.588022271,4.066763347
2006,9,AT-Neu,GRA,47.11667,11.3175,5.63848,3.190625,4.950690867,10.20088093,5.351560919
2006,10,AT-Neu,GRA,47.11667,11.3175,3.4726,1.825,2.230727867,4.09526357,2.380541657
2006,11,AT-Neu,GRA,47.11667,11.3175,1.88628,0.375,0.277807604,0.757605015,0.299900868
2007,7,AT-Neu,GRA,47.11667,11.3175,12.8165,5.609375,5.13606716,12.39469459,6.666393903
2007,8,AT-Neu,GRA,47.11667,11.3175,8.84969,4.366666667,6.827313367,11.00971992,5.900605433
2007,9,AT-Neu,GRA,47.11667,11.3175,7.12988,2.753125,3.336650722,6.722375681,3.526676102
2007,10,AT-Neu,GRA,47.11667,11.3175,2.49178,1.233333333,2.093768041,3.247371078,1.88766901
2007,11,AT-Neu,GRA,47.11667,11.3175,1.33046,0.208333333,0.068758008,0.35157928,0.139174015
2008,6,AT-Neu,GRA,47.11667,11.3175,10.5477,4.64375,4.645340516,10.49850094,6.222229226
2008,7,AT-Neu,GRA,47.11667,11.3175,13.6385,5.440625,6.06937205,13.37947777,7.196052182
2008,8,AT-Neu,GRA,47.11667,11.3175,7.45946,5.403125,9.632671594,14.01531274,7.511438177
2008,9,AT-Neu,GRA,47.11667,11.3175,7.17393,2.246875,3.510797511,7.073230546,3.710740713
2008,10,AT-Neu,GRA,47.11667,11.3175,2.42557,1.53125,1.449115189,3.218690592,1.870997289
2009,7,AT-Neu,GRA,47.11667,11.3175,11.6951,6.133333333,8.336704405,14.192635,7.633402722
2009,8,AT-Neu,GRA,47.11667,11.3175,8.64583,6.103125,9.957795486,15.29326935,8.196352754
2009,9,AT-Neu,GRA,47.11667,11.3175,6.58534,3.509375,5.841558074,9.210546505,4.832014125
2010,4,AT-Neu,GRA,47.11667,11.3175,7.02371,1.745833333,2.345462342,5.082364063,2.851027087
2010,5,AT-Neu,GRA,47.11667,11.3175,11.2154,2.958333333,3.844854733,7.111002485,4.365864366
2010,6,AT-Neu,GRA,47.11667,11.3175,9.333,5.920833333,6.743262425,12.28710376,7.282294548
2010,7,AT-Neu,GRA,47.11667,11.3175,10.4209,7.320833333,13.06717661,17.28336944,9.295731157
2010,8,AT-Neu,GRA,47.11667,11.3175,6.56787,4.259375,6.139710619,11.31530548,6.064382517
2010,9,AT-Neu,GRA,47.11667,11.3175,7.09067,2.259375,2.623756605,6.517112623,3.418991504
2010,11,AT-Neu,GRA,47.11667,11.3175,1.41607,0.4625,0.263171809,0.697756066,0.276209431
2011,5,AT-Neu,GRA,47.11667,11.3175,12.6346,4.009375,5.914029677,9.57960852,5.881487395
2011,6,AT-Neu,GRA,47.11667,11.3175,9.35146,4.140625,4.766803852,9.962137261,5.904338342
2011,7,AT-Neu,GRA,47.11667,11.3175,12.299,4.309375,3.258896017,9.339191008,5.023014124
2011,8,AT-Neu,GRA,47.11667,11.3175,6.98374,5.3,6.488123447,12.81152147,6.866272144
2011,9,AT-Neu,GRA,47.11667,11.3175,6.4255,3.958333333,3.63198153,8.515917444,4.467599545
2011,10,AT-Neu,GRA,47.11667,11.3175,2.16359,0.941666667,1.081638934,2.861770086,1.663522454
2011,11,AT-Neu,GRA,47.11667,11.3175,1.66486,0.615625,0.245683699,0.710606472,0.281296314
2012,6,AT-Neu,GRA,47.11667,11.3175,8.92847,4.434375,3.615904158,10.48939153,6.216830279
2012,7,AT-Neu,GRA,47.11667,11.3175,10.6704,5.079166667,4.720928648,12.4883219,6.716750652
2012,8,AT-Neu,GRA,47.11667,11.3175,8.27213,4.921875,5.541156779,12.04808746,6.457113427
2012,9,AT-Neu,GRA,47.11667,11.3175,6.30427,3.078125,5.523846921,8.416842777,4.415623238
2012,10,AT-Neu,GRA,47.11667,11.3175,2.79718,1.121875,1.259556336,2.746787038,1.596683793
2007,2,AU-Ade,WSA,-13.0769,131.1178,4.01456,5.4125,7.794238579,NA,7.470401866
2007,3,AU-Ade,WSA,-13.0769,131.1178,3.27077,4.609375,3.536482585,NA,4.603460747
2007,4,AU-Ade,WSA,-13.0769,131.1178,3.8716,6.358333333,3.835172196,NA,3.991605612
2007,5,AU-Ade,WSA,-13.0769,131.1178,3.49006,4.684375,2.204706408,NA,2.899041041
2007,6,AU-Ade,WSA,-13.0769,131.1178,3.21521,3.59375,1.981447033,NA,2.363044538
2007,7,AU-Ade,WSA,-13.0769,131.1178,3.53736,3.190625,1.691216592,NA,2.210619627
2007,8,AU-Ade,WSA,-13.0769,131.1178,3.58533,1.440625,1.22631586,NA,1.886861872
2007,9,AU-Ade,WSA,-13.0769,131.1178,3.86753,0.41875,0,NA,0
2008,1,AU-Ade,WSA,-13.0769,131.1178,8.107,3.896875,7.433060531,NA,6.649732523
2008,2,AU-Ade,WSA,-13.0769,131.1178,5.6036,3.60625,3.012571191,NA,4.368124349
2008,3,AU-Ade,WSA,-13.0769,131.1178,5.97261,3.784375,3.451065832,NA,4.932692189
2008,4,AU-Ade,WSA,-13.0769,131.1178,4.15111,5.11875,2.276034513,NA,3.348005799
2008,5,AU-Ade,WSA,-13.0769,131.1178,1.864,3.166666667,0,NA,0
2008,6,AU-Ade,WSA,-13.0769,131.1178,1.0194,1.4,0.453433902,NA,1.201685758
2008,7,AU-Ade,WSA,-13.0769,131.1178,1.70827,1.10625,0,NA,0
2008,8,AU-Ade,WSA,-13.0769,131.1178,2.12934,0.890625,0,NA,0
2008,9,AU-Ade,WSA,-13.0769,131.1178,2.30392,0.253125,0.974045652,NA,1.476795489
2008,10,AU-Ade,WSA,-13.0769,131.1178,3.21016,0.165625,0,NA,0
2009,1,AU-Ade,WSA,-13.0769,131.1178,9.31896,4.55625,8.325137835,NA,7.109262557
2009,2,AU-Ade,WSA,-13.0769,131.1178,9.12085,4.95625,6.049429862,NA,6.163731956
2009,3,AU-Ade,WSA,-13.0769,131.1178,10.2116,6.396875,8.074611485,NA,6.32906614
2009,4,AU-Ade,WSA,-13.0769,131.1178,3.89977,4.441666667,1.899527861,NA,3.081806571
2009,5,AU-Ade,WSA,-13.0769,131.1178,1.87342,2.684375,1.127997048,NA,2.02260062
2009,6,AU-Ade,WSA,-13.0769,131.1178,1.7337,1.521875,1.189025233,NA,2.025734248
2009,7,AU-Ade,WSA,-13.0769,131.1178,1.78404,0.628125,0.208864267,NA,0.819030721
2009,8,AU-Ade,WSA,-13.0769,131.1178,1.90182,0.734375,0.466002191,NA,1.280376503
2009,9,AU-Ade,WSA,-13.0769,131.1178,1.99864,0.5375,0,NA,0
2009,10,AU-Ade,WSA,-13.0769,131.1178,2.1208,0.304166667,0,NA,0
2009,11,AU-Ade,WSA,-13.0769,131.1178,2.08884,0.878125,1.900897991,NA,2.761314793
2010,1,AU-ASM,ENF,-22.283,133.249,0.752526,0.509375,0,0,0
2010,2,AU-ASM,ENF,-22.283,133.249,0.606334,0.859375,0,0,0
2010,3,AU-ASM,ENF,-22.283,133.249,1.02562,1.8125,0.527883555,3.197332884,3.493045342
2010,4,AU-ASM,ENF,-22.283,133.249,1.10724,1.6625,0.760900711,2.870403132,3.328658302
2010,5,AU-ASM,ENF,-22.283,133.249,1.10944,1.415625,0.267838401,2.54009092,2.184398767
2010,6,AU-ASM,ENF,-22.283,133.249,1.27869,1.325,0.145826336,2.685852656,2.101090371
2010,7,AU-ASM,ENF,-22.283,133.249,1.17493,1.090625,0.106197955,2.22183441,1.624865809
2010,8,AU-ASM,ENF,-22.283,133.249,1.33501,1.48125,0.23652069,2.841542758,2.234553153
2010,9,AU-ASM,ENF,-22.283,133.249,2.05445,1.840625,0.385945879,3.356728882,2.772369756
2010,10,AU-ASM,ENF,-22.283,133.249,1.9587,1.983333333,0.549572308,3.266056967,3.112409055
2010,11,AU-ASM,ENF,-22.283,133.249,0.600991,1.578125,0,0,0
2010,12,AU-ASM,ENF,-22.283,133.249,1.83722,1.071875,0,0,0
2011,1,AU-ASM,ENF,-22.283,133.249,1.94912,0.96875,0,0,0
2011,2,AU-ASM,ENF,-22.283,133.249,3.71997,2.1,0.526359051,3.483465258,3.931799502
